,XJIG/ S33 Corp,XJIG/ S32 Corp,XJIG/ S31 Corp,XJIG/ S30 Corp
Name,MARKIT ITRX ASIAXJ IG 06/25,MARKIT ITRX ASIAXJ IG 12/24,MARKIT ITRX ASIAXJ IG 06/24,MARKIT ITRX ASIAXJ IG 12/23
CRNCY,USD,USD,USD,USD
px_mid,72.96875,50.30086,35.95055,26.04169
CDS_FIRST_ACCRUAL_START_DATE,2020-03-20 00:00:00,2019-09-20 00:00:00,2019-03-20 00:00:00,2018-09-20 00:00:00
FIRST_CPN_DT,2020-06-22 00:00:00,2019-12-20 00:00:00,2019-06-20 00:00:00,2018-12-20 00:00:00
maturity,2025-06-20 00:00:00,2024-12-20 00:00:00,2024-06-20 00:00:00,2023-12-20 00:00:00
PX_POS_MULT_FACTOR,1.0,1.0,1.0,1.0
isin,XJIG/ S33 Corp,XJIG/ S32 Corp,XJIG/ S31 Corp,XJIG/ S30 Corp
coupon,0.01,0.01,0.01,0.01
SECURITY_PRICING_DATE,,,,
